indexSequence,class,zone1,zone2,zone3,zone4,zone5
O13300,1,2.33463035019,21.7898832685,75.8754863813,0.0,0.0
Q04571,1,10.1167315175,33.4630350195,56.420233463,0.0,0.0
A0A014PL62,1,0.0,4.66926070039,95.3307392996,0.0,0.0
A0A017S216,1,17.5097276265,41.2451361868,41.2451361868,0.0,0.0
A0A022W2T9,1,18.6770428016,39.6887159533,41.6342412451,0.0,0.0
A0A022XTN9,1,0.0,2.72373540856,96.4980544747,0.778210116732,0.0
A0A024BKG7,1,0.0,9.33852140078,90.2723735409,0.389105058366,0.0
A0A060PSU7,1,0.0,2.33463035019,97.6653696498,0.0,0.0
A0A060PVE9,0,0.0,0.0,100.0,0.0,0.0
A0A060PWJ7,1,0.0,4.66926070039,94.9416342412,0.389105058366,0.0
A0A060Q2B2,1,0.0,10.1167315175,89.8832684825,0.0,0.0
A0A060S2M0,1,0.0,1.94552529183,98.0544747082,0.0,0.0
A0A060SCJ8,1,0.0,1.1673151751,98.8326848249,0.0,0.0
A0A063BZU9,1,0.778210116732,8.94941634241,90.2723735409,0.0,0.0
A0A067N4P7,1,0.0,10.1167315175,89.8832684825,0.0,0.0
A0A067N582,0,0.0,0.389105058366,99.6108949416,0.0,0.0
A0A067NB31,1,0.0,4.28015564202,95.719844358,0.0,0.0
A0A067NFU6,1,0.0,5.83657587549,93.7743190661,0.389105058366,0.0
A0A067NH06,1,0.0,10.5058365759,89.4941634241,0.0,0.0
A0A067NRQ5,1,0.0,8.17120622568,91.8287937743,0.0,0.0
A0A067PDQ2,0,0.0,0.778210116732,99.2217898833,0.0,0.0
A0A067PSA4,1,0.0,6.61478599222,93.3852140078,0.0,0.0
A0A067PUD9,0,0.0,0.0,100.0,0.0,0.0
A0A067Q958,0,0.0,0.0,100.0,0.0,0.0
A0A067QF90,1,0.0,3.11284046693,96.8871595331,0.0,0.0
A0A067QFZ1,0,0.0,0.0,100.0,0.0,0.0
A0A067SGQ1,1,0.0,5.05836575875,94.9416342412,0.0,0.0
A0A067SK11,1,0.0,1.94552529183,97.6653696498,0.389105058366,0.0
A0A067SKW9,1,0.0,1.1673151751,98.8326848249,0.0,0.0
A0A067SQT4,1,0.0,3.11284046693,96.8871595331,0.0,0.0
A0A067T101,0,0.0,0.0,99.6108949416,0.389105058366,0.0
A0A067TEU6,1,0.0,3.11284046693,96.8871595331,0.0,0.0
A0A067TFP1,1,0.778210116732,10.5058365759,87.1595330739,1.55642023346,0.0
A0A067TLW0,0,0.0,0.389105058366,99.6108949416,0.0,0.0
A0A067TM83,1,0.0,8.17120622568,91.8287937743,0.0,0.0
A0A067TMF1,1,0.0,1.55642023346,98.4435797665,0.0,0.0
A0A084G9F1,0,0.0,0.0,100.0,0.0,0.0
A0A093UWB1,1,0.0,1.1673151751,98.8326848249,0.0,0.0
A0A093UXC7,1,0.0,5.83657587549,94.1634241245,0.0,0.0
A0A093VCZ3,1,0.0,1.55642023346,98.4435797665,0.0,0.0
A0A093XUX6,1,0.0,14.7859922179,85.2140077821,0.0,0.0
A0A093YDH3,1,0.0,8.17120622568,91.8287937743,0.0,0.0
A0A093ZNK5,1,0.0,5.05836575875,94.9416342412,0.0,0.0
A0A094A2N3,1,0.0,5.44747081712,94.5525291829,0.0,0.0
A0A094AZE0,1,0.0,9.72762645914,90.2723735409,0.0,0.0
A0A094BIP1,1,0.0,12.0622568093,87.5486381323,0.389105058366,0.0
A0A094BRR2,1,4.66926070039,22.1789883268,73.1517509728,0.0,0.0
A0A094C7N6,1,0.0,1.55642023346,98.4435797665,0.0,0.0
A0A094DER7,0,0.0,0.389105058366,99.2217898833,0.389105058366,0.0
A0A094DVK9,1,0.778210116732,6.61478599222,92.6070038911,0.0,0.0
A0A094EPD6,1,0.0,4.28015564202,95.3307392996,0.0,0.389105058366
A0A094GC52,1,0.0,5.83657587549,94.1634241245,0.0,0.0
A0A094I4F9,1,2.33463035019,24.513618677,73.1517509728,0.0,0.0
A0A094I503,1,0.0,8.94941634241,89.8832684825,1.1673151751,0.0
A0A0A2J434,1,0.0,3.89105058366,96.1089494163,0.0,0.0
A0A0A2K7M3,0,0.0,0.0,99.2217898833,0.778210116732,0.0
A0A0A2KTJ2,1,0.0,12.4513618677,87.5486381323,0.0,0.0
A0A0A2VD56,1,0.0,5.44747081712,94.5525291829,0.0,0.0
A0A0A7H6D2,1,0.0,8.56031128405,91.439688716,0.0,0.0
A0A0A7H6D5,1,0.0,1.1673151751,98.4435797665,0.389105058366,0.0
A0A0A7H6E9,1,0.0,2.33463035019,97.6653696498,0.0,0.0
A0A0A7H6G0,1,0.0,2.33463035019,97.6653696498,0.0,0.0
A0A0A7H6G6,1,0.0,9.33852140078,90.6614785992,0.0,0.0
A0A0A7H778,1,1.55642023346,14.3968871595,84.046692607,0.0,0.0
A0A0A7H789,1,11.673151751,37.3540856031,50.9727626459,0.0,0.0
A0A0A7H797,1,0.0,10.8949416342,89.1050583658,0.0,0.0
A0A0A7H9C7,1,0.0,2.33463035019,97.6653696498,0.0,0.0
A0A0A7H9D2,1,0.0,2.33463035019,97.6653696498,0.0,0.0
