indexSequence,HydrophilicityZ1,HydrophilicityZ2,HydrophilicityZ3,HydrophilicityZ4,HydrophilicityZ5,HydrophobicZ1,HydrophobicZ2,HydrophobicZ3,HydrophobicZ4,HydrophobicZ5,HydrophobicityZ1,HydrophobicityZ2,HydrophobicityZ3,HydrophobicityZ4,HydrophobicityZ5
CHR-1-Sequence-1,11.2840466926,25.6809338521,63.0350194553,0.0,0.0,8.56031128405,22.9571984436,68.093385214,0.389105058366,0.0,5.44747081712,14.0077821012,79.766536965,0.389105058366,0.389105058366
CHR-1-Sequence-2,17.8988326848,33.8521400778,47.859922179,0.389105058366,0.0,17.1206225681,27.626459144,54.4747081712,0.389105058366,0.389105058366,7.78210116732,26.0700389105,66.1478599222,0.0,0.0
CHR-1-Sequence-5,21.7898832685,35.7976653696,42.4124513619,0.0,0.0,21.4007782101,26.4591439689,52.140077821,0.0,0.0,14.0077821012,26.4591439689,59.1439688716,0.389105058366,0.0
CHR-1-Sequence-6,24.513618677,31.906614786,43.579766537,0.0,0.0,24.513618677,20.233463035,54.4747081712,0.389105058366,0.389105058366,16.3424124514,30.7392996109,52.5291828794,0.389105058366,0.0
CHR-1-Sequence-7,11.2840466926,29.5719844358,58.7548638132,0.389105058366,0.0,9.72762645914,21.4007782101,66.9260700389,1.94552529183,0.0,1.55642023346,14.7859922179,83.2684824903,0.389105058366,0.0
CHR-1-Sequence-8,35.0194552529,31.5175097276,33.4630350195,0.0,0.0,30.7392996109,24.1245136187,44.3579766537,0.778210116732,0.0,17.8988326848,30.7392996109,50.5836575875,0.389105058366,0.389105058366
CHR-1-Sequence-9,17.8988326848,35.0194552529,47.0817120623,0.0,0.0,17.8988326848,29.9610894942,51.7509727626,0.389105058366,0.0,8.94941634241,26.4591439689,64.5914396887,0.0,0.0
CHR-1-Sequence-10,1.55642023346,16.3424124514,81.7120622568,0.0,0.389105058366,0.389105058366,14.3968871595,81.7120622568,1.55642023346,1.94552529183,0.0,3.11284046693,96.4980544747,0.389105058366,0.0
CHR-1-Sequence-11,16.7315175097,35.0194552529,48.2490272374,0.0,0.0,20.233463035,23.3463035019,56.420233463,0.0,0.0,15.1750972763,29.9610894942,54.8638132296,0.0,0.0
CHR-1-Sequence-12,17.1206225681,34.6303501946,48.2490272374,0.0,0.0,15.1750972763,31.5175097276,53.3073929961,0.0,0.0,7.00389105058,29.5719844358,63.0350194553,0.389105058366,0.0
CHR-1-Sequence-13,19.0661478599,34.2412451362,46.6926070039,0.0,0.0,22.5680933852,28.4046692607,48.2490272374,0.389105058366,0.389105058366,16.3424124514,33.0739299611,50.5836575875,0.0,0.0
CHR-1-Sequence-14,21.0116731518,36.9649805447,42.0233463035,0.0,0.0,25.6809338521,27.626459144,46.6926070039,0.0,0.0,18.6770428016,31.906614786,48.6381322957,0.389105058366,0.389105058366
CHR-1-Sequence-15,29.1828793774,31.906614786,38.9105058366,0.0,0.0,24.1245136187,33.4630350195,41.6342412451,0.778210116732,0.0,17.8988326848,33.4630350195,47.4708171206,0.0,1.1673151751
CHR-1-Sequence-16,31.5175097276,29.5719844358,38.9105058366,0.0,0.0,32.2957198444,21.7898832685,45.1361867704,0.778210116732,0.0,20.6225680934,31.906614786,46.6926070039,0.0,0.778210116732
CHR-1-Sequence-17,36.186770428,28.7937743191,35.0194552529,0.0,0.0,29.9610894942,29.1828793774,40.46692607,0.389105058366,0.0,17.1206225681,31.1284046693,50.5836575875,1.1673151751,0.0
CHR-1-Sequence-18,2.72373540856,16.3424124514,80.9338521401,0.0,0.0,2.33463035019,9.33852140078,86.7704280156,0.778210116732,0.778210116732,0.0,8.56031128405,91.0505836576,0.0,0.389105058366
CHR-1-Sequence-23,9.72762645914,28.4046692607,61.8677042802,0.0,0.0,9.33852140078,26.0700389105,64.2023346304,0.389105058366,0.0,3.89105058366,19.0661478599,76.6536964981,0.0,0.389105058366
CHR-1-Sequence-24,1.55642023346,12.4513618677,85.6031128405,0.0,0.389105058366,0.778210116732,7.78210116732,88.7159533074,2.72373540856,0.0,0.0,2.72373540856,96.8871595331,0.389105058366,0.0
CHR-1-Sequence-25,3.89105058366,25.2918287938,70.4280155642,0.389105058366,0.0,3.11284046693,19.0661478599,77.4319066148,0.389105058366,0.0,1.1673151751,9.72762645914,88.7159533074,0.389105058366,0.0
CHR-1-Sequence-26,4.66926070039,22.1789883268,73.1517509728,0.0,0.0,3.11284046693,17.8988326848,77.4319066148,1.1673151751,0.389105058366,0.778210116732,4.28015564202,94.1634241245,0.778210116732,0.0
CHR-1-Sequence-31,24.9027237354,29.9610894942,44.7470817121,0.389105058366,0.0,22.5680933852,27.2373540856,49.4163424125,0.389105058366,0.389105058366,14.7859922179,31.906614786,52.5291828794,0.778210116732,0.0
CHR-1-Sequence-32,29.1828793774,34.6303501946,36.186770428,0.0,0.0,23.3463035019,29.1828793774,46.6926070039,0.389105058366,0.389105058366,10.8949416342,33.0739299611,54.8638132296,1.1673151751,0.0
CHR-1-Sequence-33,22.5680933852,34.2412451362,43.1906614786,0.0,0.0,21.4007782101,31.1284046693,47.4708171206,0.0,0.0,13.6186770428,33.0739299611,53.3073929961,0.0,0.0
CHR-1-Sequence-34,15.953307393,27.626459144,56.420233463,0.0,0.0,14.0077821012,24.9027237354,60.3112840467,0.778210116732,0.0,5.83657587549,27.626459144,66.5369649805,0.0,0.0
CHR-1-Sequence-35,15.1750972763,31.1284046693,53.6964980545,0.0,0.0,15.953307393,24.1245136187,59.53307393,0.0,0.389105058366,3.11284046693,33.0739299611,63.813229572,0.0,0.0
CHR-1-Sequence-36,12.8404669261,28.7937743191,58.3657587549,0.0,0.0,12.4513618677,26.8482490272,59.9221789883,0.778210116732,0.0,5.05836575875,27.2373540856,67.3151750973,0.389105058366,0.0
CHR-1-Sequence-37,18.6770428016,40.46692607,40.46692607,0.389105058366,0.0,19.4552529183,28.0155642023,52.5291828794,0.0,0.0,8.94941634241,29.9610894942,61.0894941634,0.0,0.0
CHR-1-Sequence-38,11.673151751,36.186770428,52.140077821,0.0,0.0,13.6186770428,27.626459144,58.3657587549,0.389105058366,0.0,5.44747081712,20.6225680934,73.5408560311,0.389105058366,0.0
CHR-1-Sequence-39,17.5097276265,38.5214007782,43.9688715953,0.0,0.0,16.3424124514,31.5175097276,51.7509727626,0.389105058366,0.0,8.56031128405,25.2918287938,65.7587548638,0.389105058366,0.0
CHR-1-Sequence-41,28.4046692607,31.1284046693,40.46692607,0.0,0.0,28.0155642023,31.1284046693,39.6887159533,0.778210116732,0.389105058366,15.5642023346,37.3540856031,46.3035019455,0.0,0.778210116732
CHR-1-Sequence-42,27.626459144,38.9105058366,33.4630350195,0.0,0.0,24.513618677,31.5175097276,43.1906614786,0.778210116732,0.0,15.953307393,29.5719844358,54.0856031128,0.0,0.389105058366
CHR-1-Sequence-43,8.94941634241,26.8482490272,64.2023346304,0.0,0.0,6.61478599222,22.9571984436,70.4280155642,0.0,0.0,0.389105058366,21.0116731518,78.2101167315,0.389105058366,0.0
CHR-1-Sequence-44,18.2879377432,31.1284046693,50.1945525292,0.389105058366,0.0,16.3424124514,27.2373540856,56.0311284047,0.389105058366,0.0,7.39299610895,25.2918287938,67.3151750973,0.0,0.0
CHR-1-Sequence-45,13.6186770428,36.9649805447,49.4163424125,0.0,0.0,15.953307393,29.9610894942,53.3073929961,0.778210116732,0.0,8.56031128405,28.0155642023,63.0350194553,0.0,0.389105058366
